kernel,size,oi,bound,trip_count,working_set_bytes,has_loop_carried_dep,transform_type,transform_applied,speedup,profitable_label
garch_11,SMALL,0.14851190476190476,memory-bound,499,7984,False,parallel,True,0.9996968261487447,False
garch_11,SMALL,0.14851190476190476,memory-bound,499,7984,False,fastmath_parallel,True,0.991468250239603,False
garch_11,MEDIUM,0.14997,memory-bound,4999,79984,False,baseline,False,1.0,False
garch_11,MEDIUM,0.14997,memory-bound,4999,79984,False,fastmath,True,1.0930621107199505,True
garch_11,MEDIUM,0.14997,memory-bound,4999,79984,False,parallel,True,1.0989369744732882,True
garch_11,MEDIUM,0.14997,memory-bound,4999,79984,False,fastmath_parallel,True,1.074075482008577,True
garch_11,LARGE,0.149995,memory-bound,29999,479984,False,baseline,False,1.0,False
garch_11,LARGE,0.149995,memory-bound,29999,479984,False,fastmath,True,0.9940700353998227,False
garch_11,LARGE,0.149995,memory-bound,29999,479984,False,parallel,True,0.9593146075597526,False
garch_11,LARGE,0.149995,memory-bound,29999,479984,False,fastmath_parallel,True,0.9927261107278483,False
yield_curve_bootstrap,SMALL,0.15625,memory-bound,20,320,False,baseline,False,1.0,False
yield_curve_bootstrap,SMALL,0.15625,memory-bound,20,320,False,fastmath,True,0.965828191741813,False
yield_curve_bootstrap,SMALL,0.15625,memory-bound,20,320,False,parallel,True,0.040979480053968065,False
yield_curve_bootstrap,SMALL,0.15625,memory-bound,20,320,False,fastmath_parallel,True,0.03905800161222218,False
yield_curve_bootstrap,MEDIUM,0.18028846153846154,memory-bound,100,1600,False,baseline,False,1.0,False
yield_curve_bootstrap,MEDIUM,0.18028846153846154,memory-bound,100,1600,False,fastmath,True,2.004204798417017,True
yield_curve_bootstrap,MEDIUM,0.18028846153846154,memory-bound,100,1600,False,parallel,True,0.1332182490752158,False
yield_curve_bootstrap,MEDIUM,0.18028846153846154,memory-bound,100,1600,False,fastmath_parallel,True,0.15018905693950177,False
yield_curve_bootstrap,LARGE,0.18503289473684212,memory-bound,300,4800,False,baseline,False,1.0,False
yield_curve_bootstrap,LARGE,0.18503289473684212,memory-bound,300,4800,False,fastmath,True,4.991692413319602,True
yield_curve_bootstrap,LARGE,0.18503289473684212,memory-bound,300,4800,False,parallel,True,0.4819142942365691,False
yield_curve_bootstrap,LARGE,0.18503289473684212,memory-bound,300,4800,False,fastmath_parallel,True,1.017479532572948,False
markowitz_optimize,SMALL,0.0,memory-bound,0,0,False,baseline,False,1.0,False
markowitz_optimize,SMALL,0.0,memory-bound,0,0,False,fastmath,True,1.0319429560629791,True
markowitz_optimize,MEDIUM,0.0,memory-bound,0,0,False,baseline,False,1.0,False
markowitz_optimize,MEDIUM,0.0,memory-bound,0,0,False,fastmath,True,1.0325208466966005,True
markowitz_optimize,LARGE,0.0,memory-bound,0,0,False,baseline,False,1.0,False
markowitz_optimize,LARGE,0.0,memory-bound,0,0,False,fastmath,True,0.9841290516598774,False
correlated_asset_paths,SMALL,0.0,memory-bound,5,40,False,baseline,False,1.0,False
correlated_asset_paths,SMALL,0.0,memory-bound,5,40,False,fastmath,True,1.0031326957806599,False
correlated_asset_paths,SMALL,0.0,memory-bound,5,40,False,tile,True,1.11849019560733,True
correlated_asset_paths,MEDIUM,0.0,memory-bound,8,64,False,baseline,False,1.0,False
correlated_asset_paths,MEDIUM,0.0,memory-bound,8,64,False,fastmath,True,1.0009544497403247,False
correlated_asset_paths,MEDIUM,0.0,memory-bound,8,64,False,tile,True,1.0724293769987068,True
correlated_asset_paths,LARGE,0.0,memory-bound,12,96,False,baseline,False,1.0,False
correlated_asset_paths,LARGE,0.0,memory-bound,12,96,False,fastmath,True,1.0021715965467761,False
correlated_asset_paths,LARGE,0.0,memory-bound,12,96,False,tile,True,1.0409432780086303,True
black_scholes_pde_crank_nicolson,SMALL,0.2916666666666667,memory-bound,49,2352,False,baseline,False,1.0,False
black_scholes_pde_crank_nicolson,SMALL,0.2916666666666667,memory-bound,49,2352,False,fastmath,True,1.0508733416054215,True
black_scholes_pde_crank_nicolson,SMALL,0.2916666666666667,memory-bound,49,2352,False,parallel,True,0.9941608475800626,False
black_scholes_pde_crank_nicolson,SMALL,0.2916666666666667,memory-bound,49,2352,False,fastmath_parallel,True,0.9064215148188803,False
black_scholes_pde_crank_nicolson,SMALL,0.2916666666666667,memory-bound,49,2352,False,fuse,True,1.098363926576217,True
black_scholes_pde_crank_nicolson,MEDIUM,0.3267543859649123,memory-bound,149,7152,False,baseline,False,1.0,False
black_scholes_pde_crank_nicolson,MEDIUM,0.3267543859649123,memory-bound,149,7152,False,fastmath,True,1.0106999144289726,False
black_scholes_pde_crank_nicolson,MEDIUM,0.3267543859649123,memory-bound,149,7152,False,parallel,True,1.0373276379848773,True
black_scholes_pde_crank_nicolson,MEDIUM,0.3267543859649123,memory-bound,149,7152,False,fastmath_parallel,True,1.0066350176792933,False
black_scholes_pde_crank_nicolson,MEDIUM,0.3267543859649123,memory-bound,149,7152,False,fuse,True,1.1567720042331981,True
black_scholes_pde_crank_nicolson,LARGE,0.32785087719298245,memory-bound,299,14352,False,baseline,False,1.0,False
black_scholes_pde_crank_nicolson,LARGE,0.32785087719298245,memory-bound,299,14352,False,fastmath,True,0.9727543553729163,False
black_scholes_pde_crank_nicolson,LARGE,0.32785087719298245,memory-bound,299,14352,False,parallel,True,0.989875507978514,False
black_scholes_pde_crank_nicolson,LARGE,0.32785087719298245,memory-bound,299,14352,False,fastmath_parallel,True,0.9676632397317921,False
black_scholes_pde_crank_nicolson,LARGE,0.32785087719298245,memory-bound,299,14352,False,fuse,True,1.1027865005088309,True
