suite,kernel,njit_variant,fastmath,boundscheck,style,baseline_llvm,baseline_gflops,suggested_llvm,suggested_gflops,reason,speedup
npbench,compute,njit_boundscheck,False,True,non_fp,llvm_O3_loopvec,2.330846695870761e-07,llvm_O3_loopvec,2.330846695870761e-07,"style=non_fp, boundscheck=True -> llvm_O3_loopvec (measured avg 99.1% of peak across the sweep)",1.0
npbench,compute,njit_default,False,False,non_fp,llvm_O3_loopvec,2.332254404138944e-07,llvm_O3_loopvec,2.332254404138944e-07,"style=non_fp, boundscheck=False -> llvm_O3_loopvec (measured avg 99.1% of peak across the sweep)",1.0
npbench,compute,njit_fastmath,True,False,non_fp,llvm_O3_loopvec,2.3378027687198192e-07,llvm_O3_loopvec,2.3378027687198192e-07,"style=non_fp, boundscheck=False -> llvm_O3_loopvec (measured avg 99.1% of peak across the sweep)",1.0
npbench,compute,njit_fastmath_boundscheck,True,True,non_fp,llvm_O3_loopvec,2.33902474723364e-07,llvm_O3_loopvec,2.33902474723364e-07,"style=non_fp, boundscheck=True -> llvm_O3_loopvec (measured avg 99.1% of peak across the sweep)",1.0
npbench,crc16,njit_boundscheck,False,True,non_fp,llvm_O3_loopvec,0.00016200087869643935,llvm_O3_loopvec,0.00016200087869643935,"style=non_fp, boundscheck=True -> llvm_O3_loopvec (measured avg 99.1% of peak across the sweep)",1.0
npbench,crc16,njit_default,False,False,non_fp,llvm_O3_loopvec,0.00016217215284700196,llvm_O3_loopvec,0.00016217215284700196,"style=non_fp, boundscheck=False -> llvm_O3_loopvec (measured avg 99.1% of peak across the sweep)",1.0
npbench,crc16,njit_fastmath,True,False,non_fp,llvm_O3_loopvec,0.00015699127480078953,llvm_O3_loopvec,0.00015699127480078953,"style=non_fp, boundscheck=False -> llvm_O3_loopvec (measured avg 99.1% of peak across the sweep)",1.0
npbench,crc16,njit_fastmath_boundscheck,True,True,non_fp,llvm_O3_loopvec,0.00015940347743467935,llvm_O3_loopvec,0.00015940347743467935,"style=non_fp, boundscheck=True -> llvm_O3_loopvec (measured avg 99.1% of peak across the sweep)",1.0
npbench,go_fast,njit_boundscheck,False,True,transcendental,llvm_O3_loopvec,0.5921267384114128,llvm_O3_novec,0.6116012943972602,"style=transcendental, boundscheck=True -> llvm_O3_novec (measured avg 99.7% of peak across the sweep)",1.0328891683528676
npbench,go_fast,njit_default,False,False,transcendental,llvm_O3_loopvec,0.5544561159034737,llvm_O3_novec,0.6148839969716228,"style=transcendental, boundscheck=False -> llvm_O3_novec (measured avg 99.7% of peak across the sweep)",1.108985868015331
npbench,go_fast,njit_fastmath,True,False,transcendental,llvm_O3_loopvec,0.593618629854583,llvm_O3_novec,0.6140373671979644,"style=transcendental, boundscheck=False -> llvm_O3_novec (measured avg 99.7% of peak across the sweep)",1.0343970628893222
npbench,go_fast,njit_fastmath_boundscheck,True,True,transcendental,llvm_O3_loopvec,0.5911371022755258,llvm_O3_novec,0.6144134262306847,"style=transcendental, boundscheck=True -> llvm_O3_novec (measured avg 99.7% of peak across the sweep)",1.039375508432069
npbench,mandelbrot1,njit_boundscheck,False,True,vectorizable,llvm_O3_loopvec,1.955833038550881,llvm_O3_vec_forcewidth2,2.115121971444481,"style=vectorizable, boundscheck=True -> llvm_O3_vec_forcewidth2 (measured avg 96.3% of peak across the sweep)",1.081443011624152
npbench,mandelbrot1,njit_default,False,False,vectorizable,llvm_O3_loopvec,2.11684719400024,llvm_O3_loopvec,2.11684719400024,"style=vectorizable, boundscheck=False -> llvm_O3_loopvec (measured avg 95.5% of peak across the sweep)",1.0
npbench,mandelbrot1,njit_fastmath,True,False,vectorizable,llvm_O3_loopvec,2.1629216460339817,llvm_O3_loopvec,2.1629216460339817,"style=vectorizable, boundscheck=False -> llvm_O3_loopvec (measured avg 95.5% of peak across the sweep)",1.0
npbench,mandelbrot1,njit_fastmath_boundscheck,True,True,vectorizable,llvm_O3_loopvec,1.977302197053494,llvm_O3_vec_forcewidth2,1.9528177097651838,"style=vectorizable, boundscheck=True -> llvm_O3_vec_forcewidth2 (measured avg 96.3% of peak across the sweep)",0.9876172254677124
npbench,nbody,njit_boundscheck,False,True,vectorizable,llvm_O3_loopvec,1.3266477937161063,llvm_O3_vec_forcewidth2,1.3020900923129413,"style=vectorizable, boundscheck=True -> llvm_O3_vec_forcewidth2 (measured avg 96.3% of peak across the sweep)",0.9814889064607148
npbench,nbody,njit_default,False,False,vectorizable,llvm_O3_loopvec,1.3122662714114393,llvm_O3_loopvec,1.3122662714114393,"style=vectorizable, boundscheck=False -> llvm_O3_loopvec (measured avg 95.5% of peak across the sweep)",1.0
npbench,nbody,njit_fastmath,True,False,vectorizable,llvm_O3_loopvec,1.3338060466433623,llvm_O3_loopvec,1.3338060466433623,"style=vectorizable, boundscheck=False -> llvm_O3_loopvec (measured avg 95.5% of peak across the sweep)",1.0
npbench,nbody,njit_fastmath_boundscheck,True,True,vectorizable,llvm_O3_loopvec,1.3179886907741105,llvm_O3_vec_forcewidth2,1.2904375191380328,"style=vectorizable, boundscheck=True -> llvm_O3_vec_forcewidth2 (measured avg 96.3% of peak across the sweep)",0.9790960485253514
npbench,spmv,njit_boundscheck,False,True,non_fp,llvm_O3_loopvec,0.2685609531523488,llvm_O3_loopvec,0.2685609531523488,"style=non_fp, boundscheck=True -> llvm_O3_loopvec (measured avg 99.1% of peak across the sweep)",1.0
npbench,spmv,njit_default,False,False,non_fp,llvm_O3_loopvec,0.2662094579922909,llvm_O3_loopvec,0.2662094579922909,"style=non_fp, boundscheck=False -> llvm_O3_loopvec (measured avg 99.1% of peak across the sweep)",1.0
npbench,spmv,njit_fastmath,True,False,non_fp,llvm_O3_loopvec,0.2720253628907812,llvm_O3_loopvec,0.2720253628907812,"style=non_fp, boundscheck=False -> llvm_O3_loopvec (measured avg 99.1% of peak across the sweep)",1.0
npbench,spmv,njit_fastmath_boundscheck,True,True,non_fp,llvm_O3_loopvec,0.274619366348455,llvm_O3_loopvec,0.274619366348455,"style=non_fp, boundscheck=True -> llvm_O3_loopvec (measured avg 99.1% of peak across the sweep)",1.0
polybench,2mm,njit_boundscheck,False,True,vectorizable,llvm_O3_loopvec,1.8679929031514213,llvm_O3_vec_forcewidth2,1.8813454258985989,"style=vectorizable, boundscheck=True -> llvm_O3_vec_forcewidth2 (measured avg 96.3% of peak across the sweep)",1.0071480586059245
polybench,2mm,njit_default,False,False,vectorizable,llvm_O3_loopvec,4.149277118764327,llvm_O3_loopvec,4.149277118764327,"style=vectorizable, boundscheck=False -> llvm_O3_loopvec (measured avg 95.5% of peak across the sweep)",1.0
polybench,2mm,njit_fastmath,True,False,vectorizable,llvm_O3_loopvec,3.0230162592399896,llvm_O3_loopvec,3.0230162592399896,"style=vectorizable, boundscheck=False -> llvm_O3_loopvec (measured avg 95.5% of peak across the sweep)",1.0
polybench,2mm,njit_fastmath_boundscheck,True,True,vectorizable,llvm_O3_loopvec,1.6067711398247895,llvm_O3_vec_forcewidth2,1.7085314803265517,"style=vectorizable, boundscheck=True -> llvm_O3_vec_forcewidth2 (measured avg 96.3% of peak across the sweep)",1.0633321933532232
polybench,3mm,njit_boundscheck,False,True,vectorizable,llvm_O3_loopvec,2.1301289794031635,llvm_O3_vec_forcewidth2,1.9543229098728876,"style=vectorizable, boundscheck=True -> llvm_O3_vec_forcewidth2 (measured avg 96.3% of peak across the sweep)",0.9174669368708674
polybench,3mm,njit_default,False,False,vectorizable,llvm_O3_loopvec,2.8081177912906816,llvm_O3_loopvec,2.8081177912906816,"style=vectorizable, boundscheck=False -> llvm_O3_loopvec (measured avg 95.5% of peak across the sweep)",1.0
